id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *, *,2pF,0,0,Samsung Electronics,CAP CER2pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,45,,,
, *, *, *, *,1nF,0,0,Samsung Electronics,CAP CER1nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,46,,,
, *, *, *, *,56nF,0,0,Samsung Electronics,CAP CER56nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,47,,,
, *, *, *, *,1.5pF,0,0,Samsung Electronics,CAP CER1.5pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,48,,,
, *, *, *, *,220pF,0,0,Samsung Electronics,CAP CER220pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,49,,,
, *, *, *, *,1.2pF,0,0,Samsung Electronics,CAP CER1.2pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,50,,,
, *, *, *, *,220nF,0,0,Samsung Electronics,CAP CER220nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,51,,,
, *, *, *, *,470pF,0,0,Samsung Electronics,CAP CER470pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,52,,,
, *, *, *, *,33pF,0,0,Samsung Electronics,CAP CER33pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,53,,,
, *, *, *, *,1uF,0,0,Samsung Electronics,CAP CER1uF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,54,,,
, *, *, *, *,22pF,0,0,Samsung Electronics,CAP CER22pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,55,,,
, *, *, *, *,2.2nF,0,0,Samsung Electronics,CAP CER2.2nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,56,,,
, *, *, *, *,100pF,0,0,Samsung Electronics,CAP CER100pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,57,,,
, *, *, *, *,10nF,0,0,Samsung Electronics,CAP CER10nF 50V X7R 0402X7R,Cut Tape (CT), - ,Active,50,,9,58,,,
, *, *, *, *,100nF,0,0,Samsung Electronics,CAP CER100nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,59,,,
, *, *, *, *,100nF,0,0,Samsung Electronics,CAP CER100nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,60,,,
, *, *, *, *,9.5pF,0,0,Samsung Electronics,CAP CER9.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,61,,,
