V.22,2.4k,4.5 V ~ 5.5 V,Surface Mount,28-SOIC (0.295"* 7.50mm Width),28-SOIC,
V.21* V.22* V.23* V.32* V.34* V.90* Bell 103* Bell 212A,56k,3 V ~ 3.6 V,Surface Mount,16-SOIC (0.154"* 3.90mm Width),16-SOIC,
V.21* V.22* V.23* Bell 103* Bell 212A,2.4k,4.5 V ~ 5.5 V,Surface Mount,44-LQFP,44-LQFP (10x10),
V.21* V.22* V.23* V.32* V.34* V.90* Bell 103* Bell 212A,56k,3 V ~ 3.6 V,Surface Mount,16-SOIC (0.154"* 3.90mm Width),16-SOIC,
V.21* V.22* V.23* Bell 103* Bell 212A,300 ~ 9.6k,2.7 V ~ 3.6 V,Surface Mount,32-TQFP,32-TQFP,
-,Selectable,3 V ~ 3.6 V,Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51),
V.21* V.22* V.23* V.29* V.32* V.34* Bell 103* Bell 212A,33.6k,3 V ~ 3.6 V,Surface Mount,24-TSSOP (0.173"* 4.40mm Width),24-TSSOP,
V.21* V.22* V.23* V.32* V.34* V.90* Bell 103* Bell 212A,56k,3 V ~ 3.6 V,Surface Mount,24-TSSOP (0.173"* 4.40mm Width),24-TSSOP,
V.21* V.22* V.23* V.32* V.34* V.90* Bell 103* Bell 212A,56k,3 V ~ 3.6 V,Surface Mount,16-SOIC (0.154"* 3.90mm Width),16-SOIC,
