5.5V,20mA,50nA,570nm,120°,-,Surface Mount,Top View,-40°C ~ 85°C (TA),0805 (2012 Metric),
50V,50mA,300nA,880nm,30°,220mW,Through Hole,Top View,-40°C ~ 125°C (TA),TO-206AA* TO-18-3 Metal Can,
Voltage - Collector Emitter Breakdown (Max) 50V,Current - Collector (Ic) (Max) 100mA,Current - Dark (Id) (Max) 100nA,Wavelength 850nm,Viewing Angle 110°,Power - Max 150mW,Mounting Type Through Hole,Orientation Top View,Operating Temperature -40°C ~ 80°C (TA),
Voltage - Collector Emitter Breakdown (Max) 50V,Current - Collector (Ic) (Max) 100mA,Current - Dark (Id) (Max) 100nA,Wavelength 850nm,Viewing Angle 110°,Power - Max 150mW,Mounting Type Through Hole,Orientation Top View,Operating Temperature -40°C ~ 80°C (TA),
Voltage - Collector Emitter Breakdown (Max) 35V,Current - Collector (Ic) (Max) 100mA,Current - Dark (Id) (Max) 50nA,Wavelength 830nm,Viewing Angle 16°,Power - Max 200mW,Mounting Type Through Hole,Orientation Top View,Operating Temperature -40°C ~ 125°C (TA),
