Transmissive,Open Collector,-,40mA,4.5 V ~ 5.5 V,70ns,-40°C ~ 70°C (TA),Module* Slotted,
Transmissive,Pull-Up Resistor* Buffer,Through Hole,1.7mA,4.5 V ~ 17 V,1µs* 0.05µs,-25°C ~ 85°C (TA),PCB Mount,
