256,1-Shot* Programmable,16.5ns,250ps,63.75ns,1,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
256,1-Shot* Programmable,16.5ns,250ps,63.75ns,1,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
