Battery Backup Circuit,1,Open Drain* Push-Pull,Active High/Active Low,25 ms Minimum,4.37V,0°C ~ 70°C (TA),Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,100 ms Minimum,4.35V,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,100 ms Minimum,2.55V,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Multi-Voltage Supervisor,2,Open Drain or Open Collector,Active High,-,Adjustable/Selectable,0°C ~ 70°C (TA),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,3.08V,-40°C ~ 85°C (TJ),Surface Mount,"10-TFSOP* 10-MSOP (0.118""* 3.00mm Width)",10-VSSOP
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,140 ms Minimum,2.32V,-40°C ~ 85°C (TJ),Surface Mount,"10-TFSOP* 10-MSOP (0.118""* 3.00mm Width)",10-VSSOP
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,100 ms Minimum,3.08V,-40°C ~ 85°C (TA),Surface Mount,SC-74A* SOT-753,SOT-23-5
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,100 ms Minimum,3.08V,-40°C ~ 85°C (TA),Surface Mount,SC-74A* SOT-753,SOT-23-5
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,2.93V,-40°C ~ 105°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.63V,-40°C ~ 105°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,1 ms Minimum,2.63V,-40°C ~ 85°C (TJ),Surface Mount,SC-74A* SOT-753,SOT-23-5
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,1 ms Minimum,2.63V,-20°C ~ 85°C (TJ),Surface Mount,SC-74A* SOT-753,SOT-23-5
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,1 ms Minimum,2.93V,-20°C ~ 85°C (TJ),Surface Mount,SC-74A* SOT-753,SOT-23-5
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,1 ms Minimum,4.63V,-20°C ~ 85°C (TJ),Surface Mount,SC-74A* SOT-753,SOT-23-5
