Source Selector Switch,P-Channel,3:01,No,1.4µs,700ns,-,28µA,2.5 V ~ 36 V,Battery Backup* Handheld/Mobile Devices,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad,24-QFN (4x4)
N+1 ORing Controller,N-Channel,N:1,No,250ns,200ns,-,1.4mA,2.9 V ~ 18 V,Redundant Power Supplies* Telecom Infrastructure,-40°C ~ 85°C,Surface Mount,"12-TSSOP (0.118""* 3.00mm Width)",12-MSOP
N+1 ORing Controller,N-Channel,N:1,No,-,300ns,-,500µA,9 V ~ 80 V,Automotive* Redundant Power Supplies* Telecom Infrastructure,-40°C ~ 85°C,Surface Mount,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",8-MSOP
Source Selector Switch,P-Channel,2:01,No,110µs,13µs,-,15µA,2.5 V ~ 28 V,Handheld* USB Powered Supplies,-40°C ~ 85°C,Surface Mount,SOT-23-6 Thin* TSOT-23-6,TSOT-23-6
Source Selector Switch,P-Channel,3:01,No,1.4µs,700ns,-,28µA,2.5 V ~ 36 V,Battery Backup* Handheld/Mobile Devices,-40°C ~ 85°C,Surface Mount,"24-SSOP (0.154""* 3.90mm Width)",24-SSOP
