100k,±1%,±1%,-,-,-,4190K,-,-40°C ~ 150°C,-,1.35" (34.29mm),Free Hanging,Ring Lug,
2k,±10%,±1%,-,-,-,3540K,-,-40°C ~ 250°C,-,1.06" (27.00mm),Through Hole,DO-204AH* DO-35* Axial,
