896,8064,294912,141,400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,
896,8064,368640,251,400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),320-BGA,320-FBGA (19x19)
8320,74880,1916928,633,5000000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),900-BBGA,
1164,10476,368640,158,500000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
1164,10476,368640,158,500000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),208-BFQFP,208-PQFP (28x28)
1164,10476,368640,158,500000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
176,1584,55296,108,50000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
176,1584,55296,108,50000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),144-LQFP,144-TQFP (20x20)
4160,37440,1548288,309,1800000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),484-FBGA* CSPBGA,484-CSPBGA (19x19)
5968,53712,2322432,309,3400000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-FBGA* CSPBGA,484-CSPBGA (19x19)
5968,53712,2322432,469,3400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BGA,676-FBGA (27x27)
5968,53712,2322432,469,3400000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),676-BGA,676-FBGA (27x27)
5968,53712,2322432,469,3400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
12288,110592,4423680,768,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),1148-BBGA* FCBGA,1148-FCPBGA (35x35)
2688,24192,1327104,448,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),668-BBGA* FCBGA,
3840,34560,3538944,448,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),668-BBGA* FCBGA,668-FCBGA (27x27)
64,256,65,3000,-,4.75 V ~ 5.25 V,Surface Mount,0°C ~ 85°C (TJ),84-LCC (J-Lead),84-PLCC (29.31x29.31)
196,784,133,10000,-,4.75 V ~ 5.25 V,Surface Mount,0°C ~ 85°C (TJ),160-BQFP,160-PQFP (28x28)
2400,30720,1179648,220,-,0.95 V ~ 1.05 V,Surface Mount,0°C ~ 85°C (TJ),324-BBGA* FCBGA,324-FCBGA (19x19)
7911,101261,4939776,480,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BGA,676-FBGA (27x27)
11519,147443,4939776,396,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BGA,676-FBGA (27x27)
1139,14579,589824,186,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),256-LBGA,256-FTBGA (17x17)
1139,14579,589824,186,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),256-LBGA,256-FTBGA (17x17)
1139,14579,589824,232,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),324-LFBGA* CSPBGA,324-CSPBGA (15x15)
1139,14579,589824,232,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),324-LFBGA* CSPBGA,324-CSPBGA (15x15)
1879,24051,958464,226,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),324-LFBGA* CSPBGA,324-CSPBGA (15x15)
1879,24051,958464,186,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),256-LBGA,256-FTBGA (17x17)
1879,24051,958464,186,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),256-LBGA,256-FTBGA (17x17)
1879,24051,958464,266,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-BBGA,484-FBGA (23x23)
300,3840,221184,132,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),225-LFBGA* CSPBGA,225-CSPBGA (13x13)
3411,43661,2138112,218,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),324-LFBGA* CSPBGA,324-CSPBGA (15x15)
3411,43661,2138112,316,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-BBGA,484-FBGA (23x23)
3411,43661,2138112,358,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
5831,74637,3170304,328,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-FBGA* CSPBGA,484-CSPBGA (19x19)
5831,74637,3170304,280,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-BBGA,484-FBGA (23x23)
715,9152,589824,186,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),256-LBGA,256-FTBGA (17x17)
715,9152,589824,186,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),256-LBGA,256-FTBGA (17x17)
715,9152,589824,102,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
715,9152,589824,102,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),144-LQFP,144-TQFP (20x20)
715,9152,589824,102,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
715,9152,589824,102,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),144-LQFP,144-TQFP (20x20)
10000,128000,9732096,240,-,0.95 V ~ 1.05 V,Surface Mount,-40°C ~ 100°C (TJ),484-BBGA,484-FBGA (23x23)
5820,74496,5750784,360,-,0.95 V ~ 1.05 V,Surface Mount,-40°C ~ 100°C (TJ),784-BBGA* FCBGA,784-FCBGA (29x29)
7925,101440,4976640,300,-,0.95 V ~ 1.05 V,Surface Mount,-40°C ~ 100°C (TJ),676-BGA,676-FBGA (27x27)
2600,33208,1843200,170,-,0.95 V ~ 1.05 V,Surface Mount,0°C ~ 85°C (TJ),256-LBGA,
2600,33208,1843200,150,-,0.95 V ~ 1.05 V,Surface Mount,0°C ~ 85°C (TJ),324-LFBGA* CSPBGA,-
12675,162240,11980800,400,-,0.97 V ~ 1.03 V,Surface Mount,-40°C ~ 100°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
25475,326080,16404480,500,-,0.97 V ~ 1.03 V,Surface Mount,0°C ~ 85°C (TJ),900-BBGA* FCBGA,900-FCBGA (31x31)
25475,326080,16404480,500,-,0.97 V ~ 1.03 V,Surface Mount,-40°C ~ 100°C (TJ),900-BBGA* FCBGA,900-FCBGA (31x31)
196,466,6272,112,10000,3 V ~ 3.6 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
196,466,6272,77,10000,3 V ~ 3.6 V,Surface Mount,0°C ~ 85°C (TJ),100-TQFP,100-VQFP (14x14)
400,950,12800,113,20000,4.75 V ~ 5.25 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
400,950,12800,113,20000,3 V ~ 3.6 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
896,8064,294912,141,400000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),208-BFQFP,208-PQFP (28x28)
896,8064,294912,97,400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,-
896,8064,294912,97,400000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),144-LQFP,-
600,2700,40960,140,100000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
864,3888,49152,140,150000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
384,1728,32768,140,50000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
3328,29952,589824,487,1500000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
896,8064,294912,141,400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
2400,30720,1179648,400,-,0.95 V ~ 1.05 V,Surface Mount,-40°C ~ 100°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
-,-,18432,71,60000,1.425 V ~ 1.575 V,Surface Mount,-40°C ~ 100°C (TJ),100-TQFP,100-VQFP (14x14)
-,-,-,57,3000,3 V ~ 3.6 V* 4.75 V ~ 5.25 V,Surface Mount,0°C ~ 70°C (TA),68-LCC (J-Lead),68-PLCC (24.23x24.23)
598,5980,92160,185,-,1.425 V ~ 1.575 V,Surface Mount,0°C ~ 85°C (TJ),240-BFQFP,240-PQFP (32x32)
598,5980,92160,98,-,1.425 V ~ 1.575 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
360,2880,40960,102,199000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 70°C (TA),144-LQFP,144-TQFP (20x20)
2076,33216,483840,322,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),484-BGA,484-FBGA (23x23)
7155,114480,3981312,280,-,1.15 V ~ 1.25 V,Surface Mount,-40°C ~ 100°C (TJ),484-BGA,484-FBGA (23x23)
392,6272,276480,91,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP Exposed Pad,144-EQFP (20x20)
