N-Channel Dual Gate,400MHz,31dB,5V,30mA,0.9dB,18mA,-,6V,6-TSSOP* SC-88* SOT-363,
LDMOS,225MHz,27.5dB,50V,3.6A,-,50mA,20W,110V,SOT467C,
LDMOS (Dual)* Common Source,225MHz,26.5dB,50V,56A,-,1A,400W,110V,SOT539A,
LDMOS (Dual)* Common Source,1.3GHz,16.5dB,32V,32A,-,900mA,100W,65V,SOT-540A,
HEMT,0Hz ~ 6GHz,12dB,28V,-,-,100mA,8W,84V,6-VDFN Exposed Pad,6-QFN-EP (3x3),
N-Channel,108MHz,20dB,50V,4A,-,30mA,30W,125V,SOT-123A,
LDMOS,1.5GHz,16.5dB,28V,1µA,-,1.5A,150W,65V,2-Flatpack* Fin Leads,
N-Channel JFET,100MHz,16dB,10V,60mA,-,10mA,-,25V,TO-226-3* TO-92-3 (TO-226AA),TO-92-3,
N-Channel JFET,-,-,-,-,-,-,-,25V,TO-226-3* TO-92-3 (TO-226AA),TO-92,
N-Channel Dual Gate,200MHz,25dB,15V,30mA,1dB,10mA,-,20V,TO-253-4* TO-253AA,SOT-143B,
N-Channel JFET,400MHz,-,15V,10mA,4dB,-,-,25V,TO-226-3* TO-92-3 (TO-226AA) (Formed Leads),TO-92-3,
N-Channel,30MHz ~ 500MHz,16dB,28V,4A,-,25mA,20W,65V,319-07,
LDMOS (Dual),700MHz ~ 1.3GHz,20.6dB,50V,10µA,-,-,650W,105V,SOT-979A,NI-1230H-4S,
N-Channel,45MHz,28dB,8V,30mA,2.8dB,10mA,-,12V,TO-253-4* TO-253AA,PG-SOT143-4,
