EE PLD,25.0ns,4.75 V ~ 5.25 V,-,8,-,-,0°C ~ 75°C (TA),Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51)
EE PLD,15.0ns,4.75 V ~ 5.25 V,-,10,-,-,0°C ~ 75°C (TA),Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51)
In System Programmable,7.5ns,4.75 V ~ 5.25 V,2,32,600,36,0°C ~ 70°C (TA),Surface Mount,44-LCC (J-Lead),44-PLCC (16.59x16.59)
In System Programmable,5.7ns,1.7 V ~ 1.9 V,16,256,6000,80,0°C ~ 70°C (TA),Surface Mount,100-TQFP,100-VQFP (14x14)
In System Programmable,6.7ns,1.7 V ~ 1.9 V,16,256,6000,118,0°C ~ 70°C (TA),Surface Mount,144-LQFP,144-TQFP (20x20)
In System Programmable,5.5ns,1.7 V ~ 1.9 V,2,32,750,33,0°C ~ 70°C (TA),Surface Mount,44-TQFP,44-VQFP (10x10)
In System Programmable (min 10K program/erase cycles),15.0ns,4.75 V ~ 5.25 V,8,144,3200,81,0°C ~ 70°C (TA),Surface Mount,100-BQFP,100-PQFP (20x14)
In System Programmable (min 10K program/erase cycles),10.0ns,3 V ~ 3.6 V,8,144,3200,117,-40°C ~ 85°C (TA),Surface Mount,144-LQFP,144-TQFP (20x20)
In System Programmable (min 10K program/erase cycles),10.0ns,3 V ~ 3.6 V,16,288,6400,117,0°C ~ 70°C (TA),Surface Mount,144-LQFP,
In System Programmable (min 10K program/erase cycles),15.0ns,4.75 V ~ 5.25 V,2,36,800,34,0°C ~ 70°C (TA),Surface Mount,44-TQFP,44-VQFP (10x10)
In System Programmable (min 10K program/erase cycles),15.0ns,4.5 V ~ 5.5 V,2,36,800,34,-40°C ~ 85°C (TA),Surface Mount,44-TQFP,44-VQFP (10x10)
In System Programmable (min 10K program/erase cycles),10.0ns,3 V ~ 3.6 V,2,36,800,34,0°C ~ 70°C (TA),Surface Mount,44-TQFP,44-VQFP (10x10)
In System Programmable (min 10K program/erase cycles),10.0ns,3 V ~ 3.6 V,2,36,800,34,0°C ~ 70°C (TA),Surface Mount,44-TQFP,44-VQFP (10x10)
In System Programmable (min 10K program/erase cycles),5.0ns,3 V ~ 3.6 V,2,36,800,36,0°C ~ 70°C (TA),Surface Mount,64-TQFP,64-VQFP (10x10)
In System Programmable (min 10K program/erase cycles),10.0ns,4.75 V ~ 5.25 V,4,72,1600,69,0°C ~ 70°C (TA),Surface Mount,84-LCC (J-Lead),84-PLCC (29.31x29.31)
In System Programmable (min 10K program/erase cycles),10.0ns,4.75 V ~ 5.25 V,4,72,1600,34,0°C ~ 70°C (TA),Surface Mount,44-LCC (J-Lead),44-PLCC (16.59x16.59)
In System Programmable (min 10K program/erase cycles),10.0ns,3 V ~ 3.6 V,4,72,1600,72,0°C ~ 70°C (TA),Surface Mount,100-LQFP,100-TQFP (14x14)
In System Programmable (min 10K program/erase cycles),7.5ns,3 V ~ 3.6 V,4,72,1600,34,-40°C ~ 85°C (TA),Surface Mount,44-TQFP,44-VQFP (10x10)
In System Programmable (min 10K program/erase cycles),10.0ns,3 V ~ 3.6 V,8,144,3200,117,0°C ~ 70°C (TA),Surface Mount,144-LQFP,144-TQFP (20x20)
In System Programmable,10.0ns,4.5 V ~ 5.5 V,8,128,2500,68,-40°C ~ 85°C (TA),Surface Mount,84-LCC (J-Lead),84-PLCC (29.31x29.31)
In System Programmable (min 10K program/erase cycles),10.0ns,3 V ~ 3.6 V,8,144,3200,81,0°C ~ 70°C (TA),Surface Mount,100-LQFP,100-TQFP (14x14)
In System Programmable (min 10K program/erase cycles),10.0ns,3 V ~ 3.6 V,16,288,6400,117,-40°C ~ 85°C (TA),Surface Mount,144-LQFP,144-TQFP (20x20)
In System Programmable (min 1K program/erase cycles),15.0ns,4.75 V ~ 5.25 V,10,10,-,-,0°C ~ 70°C (TA),Through Hole,"24-DIP (0.300""* 7.62mm)",24-PDIP
In System Programmable,6.2ns,2.5V* 3.3V,1270,980,116,-,-40°C ~ 100°C (TJ),Surface Mount,144-LQFP,144-TQFP (20x20)
In System Programmable,4.7ns,2.5V* 3.3V,240,192,80,-,0°C ~ 85°C (TJ),Surface Mount,100-TQFP,100-TQFP (14x14)
In System Programmable,7.5ns,3 V ~ 3.6 V,4,64,1250,66,0°C ~ 70°C (TA),Surface Mount,100-TQFP,100-TQFP (14x14)
In System Programmable,10.0ns,3 V ~ 3.6 V,16,256,5000,116,0°C ~ 70°C (TA),Surface Mount,144-LQFP,144-TQFP (20x20)
Programmable EE PLD,10.0ns,4.75 V ~ 5.25 V,2,32,600,36,0°C ~ 70°C (TA),Surface Mount,44-QFP,44-PQFP (10x10)
In System Programmable,10.0ns,4.75 V ~ 5.25 V,4,64,1250,68,0°C ~ 70°C (TA),Surface Mount,100-TQFP,100-TQFP (14x14)
In System Programmable,10.0ns,4.75 V ~ 5.25 V,4,64,1250,36,0°C ~ 70°C (TA),Surface Mount,44-TQFP,44-TQFP (10x10)
In System Programmable,10.0ns,4.75 V ~ 5.25 V,8,128,2500,68,0°C ~ 70°C (TA),Surface Mount,84-LCC (J-Lead),84-PLCC (29.31x29.31)
In System Programmable,10.0ns,4.5 V ~ 5.5 V,20,320,6000,60,-40°C ~ 85°C (TA),Surface Mount,84-LCC (J-Lead),84-PLCC (29.31x29.31)
In System Programmable,12.0ns,4.75 V ~ 5.25 V,16,64,2000,32,0°C ~ 70°C (TA),Surface Mount,44-LCC (J-Lead),44-PLCC (16.58x16.58)
In System Programmable,7.5ns,4.75 V ~ 5.25 V,8,32,1000,32,0°C ~ 70°C (TA),Surface Mount,44-TQFP,44-TQFP (10x10)
In System Programmable,7.5ns,3 V ~ 3.6 V,2,32,30,-,0°C ~ 90°C (TJ),Surface Mount,44-TQFP,44-TQFP (10x10)
In System Programmable,10.0ns,3 V ~ 3.6 V,4,64,32,-,-40°C ~ 105°C (TJ),Surface Mount,48-LQFP,48-TQFP (7x7)
In System Programmable,7.5ns,3 V ~ 3.6 V,4,64,32,-,-40°C ~ 105°C (TJ),Surface Mount,48-LQFP,48-TQFP (7x7)
