 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,232,39,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 20V  C,Cut Tape (CT),TAJ,Active,10,232,40,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 16V  C,Cut Tape (CT),TAJ,Active,10,232,41,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 7V  C,Cut Tape (CT),TAJ,Active,10,232,42,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1.5uF 20% 50V  C,Cut Tape (CT),TAJ,Active,10,232,43,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150uF 20% 6.3V  C,Cut Tape (CT),TAJ,Active,10,232,44,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 20V  C,Cut Tape (CT),TAJ,Active,10,232,45,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,232,46,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 20V  D,Cut Tape (CT),TAJ,Active,10,232,47,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,232,48,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,232,49,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 20V  D,Cut Tape (CT),TAJ,Active,10,232,50,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 20V  D,Cut Tape (CT),TAJ,Active,10,232,51,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,232,52,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 8.2uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,232,53,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,232,54,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 4V  D,Cut Tape (CT),TAJ,Active,10,232,55,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,232,56,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 6.8uF 20% 50V  D,Cut Tape (CT),TAJ,Active,10,232,57,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,232,58,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 390uF 20% 2V  D,Cut Tape (CT),TAJ,Active,10,232,59,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 10V  E,Cut Tape (CT),TAJ,Active,10,232,60,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 20V  E,Cut Tape (CT),TAJ,Active,10,232,61,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 330uF 20% 10V  E,Cut Tape (CT),TAJ,Active,10,232,62,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470uF 20% 10V  E,Cut Tape (CT),TAJ,Active,10,232,63,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470uF 20% 6.3V  E,Cut Tape (CT),TAJ,Active,10,232,64,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,232,65,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,232,66,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 35V  E,Cut Tape (CT),TAJ,Active,10,232,67,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 16V  C,Cut Tape (CT),TAJ,Active,10,232,68,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1.5uF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,232,69,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 680nF 20% 20V  B,Cut Tape (CT),TAJ,Active,10,232,70,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 10V  B,Cut Tape (CT),TAJ,Active,10,232,71,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 200nF 20% 35V  B,Cut Tape (CT),TAJ,Active,10,232,72,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 10V  B,Cut Tape (CT),TAJ,Active,10,232,73,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 6.3V  B,Cut Tape (CT),TAJ,Active,10,232,74,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,232,75,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 50V  C,Cut Tape (CT),TAJ,Active,10,232,76,
