 *, *, *,1.2pF,0,0,Samsung Electronics,CAP CER1.2pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,50,
 *, *, *,220nF,0,0,Samsung Electronics,CAP CER220nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,51,
 *, *, *,470pF,0,0,Samsung Electronics,CAP CER470pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,52,
 *, *, *,33pF,0,0,Samsung Electronics,CAP CER33pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,53,
 *, *, *,1uF,0,0,Samsung Electronics,CAP CER1uF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,54,
 *, *, *,22pF,0,0,Samsung Electronics,CAP CER22pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,55,
 *, *, *,2.2nF,0,0,Samsung Electronics,CAP CER2.2nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,56,
 *, *, *,100pF,0,0,Samsung Electronics,CAP CER100pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,57,
 *, *, *,10nF,0,0,Samsung Electronics,CAP CER10nF 50V X7R 0402X7R,Cut Tape (CT), - ,Active,50,236,58,
 *, *, *,100nF,0,0,Samsung Electronics,CAP CER100nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,59,
 *, *, *,100nF,0,0,Samsung Electronics,CAP CER100nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,60,
 *, *, *,9.5pF,0,0,Samsung Electronics,CAP CER9.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,61,
 *, *, *,14pF,0,0,Samsung Electronics,CAP CER14pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,62,
 *, *, *,11pF,0,0,Samsung Electronics,CAP CER11pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,63,
 *, *, *,3.6pF,0,0,Samsung Electronics,CAP CER3.6pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,64,
 *, *, *,8.2pF,0,0,Samsung Electronics,CAP CER8.2pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,65,
 *, *, *,820pF,0,0,Samsung Electronics,CAP CER820pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,66,
 *, *, *,240pF,0,0,Samsung Electronics,CAP CER240pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,67,
 *, *, *,56pf50VS0805,0,0,Samsung Electronics,CAP CER56pf50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,68,
 *, *, *,390p50VS0805,0,0,Samsung Electronics,CAP CER390p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,69,
 *, *, *,1.8nF,0,0,Samsung Electronics,CAP CER1.8nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,70,
 *, *, *,80p50VS0805,0,0,Samsung Electronics,CAP CER80p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,71,
 *, *, *,30p50VS0805,0,0,Samsung Electronics,CAP CER30p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,72,
 *, *, *,75p50VS0805,0,0,Samsung Electronics,CAP CER75p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,73,
 *, *, *,910pF,0,0,Samsung Electronics,CAP CER910pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,74,
 *, *, *,3nF,0,0,Samsung Electronics,CAP CER3nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,75,
 *, *, *,16.5pF,0,0,Samsung Electronics,CAP CER16.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,76,
 *, *, *,15.5pF,0,0,Samsung Electronics,CAP CER15.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,77,
 *, *, *,14.5pF,0,0,Samsung Electronics,CAP CER14.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,78,
 *, *, *,13.5pF,0,0,Samsung Electronics,CAP CER13.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,79,
 *, *, *,12.5pF,0,0,Samsung Electronics,CAP CER12.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,80,
 *, *, *,10.5pF,0,0,Samsung Electronics,CAP CER10.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,81,
 *, *, *,82nF,0,0,Samsung Electronics,CAP CER82nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,82,
 *, *, *,3.9nF,0,0,Samsung Electronics,CAP CER3.9nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,83,
