1.74Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
1.74KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
1.78KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
1.78MOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
1.82Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
1.82MOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
1.87KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
105Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
105KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
107Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
107KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
11.5KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
11.8Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
110Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
113KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
115KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
118KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
12Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
12.4Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
120Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
120KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
121KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
124Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
13Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
130KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
133KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
13KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
14.3Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
14.3KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
14.7KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
143KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
15Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
15.8KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
158KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
15KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
16Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
16.5Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
16.5KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
16.7Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
16.9Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
160KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
162KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
16KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
17.4KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
174KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
