id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 16V  C,Cut Tape (CT),TAJ,Active,10,,239,41,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 7V  C,Cut Tape (CT),TAJ,Active,10,,239,42,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1.5uF 20% 50V  C,Cut Tape (CT),TAJ,Active,10,,239,43,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150uF 20% 6.3V  C,Cut Tape (CT),TAJ,Active,10,,239,44,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 20V  C,Cut Tape (CT),TAJ,Active,10,,239,45,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,,239,46,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 20V  D,Cut Tape (CT),TAJ,Active,10,,239,47,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,48,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,,239,49,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 20V  D,Cut Tape (CT),TAJ,Active,10,,239,50,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 20V  D,Cut Tape (CT),TAJ,Active,10,,239,51,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,,239,52,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 8.2uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,53,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,,239,54,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 4V  D,Cut Tape (CT),TAJ,Active,10,,239,55,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,56,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 6.8uF 20% 50V  D,Cut Tape (CT),TAJ,Active,10,,239,57,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,,239,58,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 390uF 20% 2V  D,Cut Tape (CT),TAJ,Active,10,,239,59,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 10V  E,Cut Tape (CT),TAJ,Active,10,,239,60,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 20V  E,Cut Tape (CT),TAJ,Active,10,,239,61,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 330uF 20% 10V  E,Cut Tape (CT),TAJ,Active,10,,239,62,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470uF 20% 10V  E,Cut Tape (CT),TAJ,Active,10,,239,63,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470uF 20% 6.3V  E,Cut Tape (CT),TAJ,Active,10,,239,64,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,65,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,66,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 35V  E,Cut Tape (CT),TAJ,Active,10,,239,67,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 16V  C,Cut Tape (CT),TAJ,Active,10,,239,68,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1.5uF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,69,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 680nF 20% 20V  B,Cut Tape (CT),TAJ,Active,10,,239,70,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 10V  B,Cut Tape (CT),TAJ,Active,10,,239,71,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 200nF 20% 35V  B,Cut Tape (CT),TAJ,Active,10,,239,72,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 10V  B,Cut Tape (CT),TAJ,Active,10,,239,73,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 6.3V  B,Cut Tape (CT),TAJ,Active,10,,239,74,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,,239,75,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 50V  C,Cut Tape (CT),TAJ,Active,10,,239,76,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,,239,77,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 2.2uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,,239,78,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 6.3V  C,Cut Tape (CT),TAJ,Active,10,,239,79,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1.5uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,,239,80,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,,239,81,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,,239,82,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,,239,83,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,,239,84,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150uF 20% 6.3V  D,Cut Tape (CT),TAJ,Active,10,,239,85,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,86,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 50V  E,Cut Tape (CT),TAJ,Active,10,,239,87,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150nF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,88,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 680nF 20% 20V  A,Cut Tape (CT),TAJ,Active,10,,239,89,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 6.8uF 20% 6.3V  A,Cut Tape (CT),TAJ,Active,10,,239,90,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 20V  A,Cut Tape (CT),TAJ,Active,10,,239,91,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 0.22uF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,92,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470nF 20% 35V  B,Cut Tape (CT),TAJ,Active,10,,239,93,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,,239,94,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,,239,95,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,,239,96,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 16V  C,Cut Tape (CT),TAJ,Active,10,,239,97,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 6.3V  D,Cut Tape (CT),TAJ,Active,10,,239,98,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,,239,99,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 35V  E,Cut Tape (CT),TAJ,Active,10,,239,100,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,,239,101,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 20V  C,Cut Tape (CT),TAJ,Active,10,,239,102,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 220uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,103,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 6.3V  A,Cut Tape (CT),TAJ,Active,10,,239,104,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 3.3uF 20% 20V  B,Cut Tape (CT),TAJ,Active,10,,239,105,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 220uF 20% 16V  E,Cut Tape (CT),TAJ,Active,10,,239,106,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 6.8uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,,239,107,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,,239,108,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,109,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 2.2uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,110,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 20V  B,Cut Tape (CT),TAJ,Active,10,,239,111,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 25V  C,Cut Tape (CT),TAJ,Active,10,,239,112,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 2.2uF 20% 50V  D,Cut Tape (CT),TAJ,Active,10,,239,113,,,
