47uF,20%,50v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
33uF,20%,100v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
100uF,20%,100v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
1000uF,20%,16v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
33uF,20%,16v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
1000uF,20%,35v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
33uF,20%,25v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
1000uF,20%,25v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
330uF,20%,50v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
47uF,20%,16v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
1500uF,20%,10V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
1000uF,20%,10V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
22uF,20%,450V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
470uF,20%,35V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
3900uF,20%,10V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
220uF,20%,35V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
1000uF,20%,50v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
470uF,20%,35v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
10uF,20%,450v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
3300uF,20%,6.3v,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
10uF,20%,400V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
22uF,20%,25V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
100uF,20%,50V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
680uF,20%,400V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
10000uF,20%,25V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
10000uF,20%,35V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
680uF,20%,10V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
6800uF,20%,10V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can
10uF,20%,16V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
100uF,20%,16V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
150uF,20%,10V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
220uF,20%,10V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
220uF,20%,6.3V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
4.7uF,20%,35V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
33uF,20%,10V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
0.1uF,20%,50V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
47uF,20%,6.3V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
220uF,20%,25V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
33uF,20%,50V,-,-,-55å¡C ~ 100å¡C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD
