Step-Down,Positive,Buck,Adjustable,1,7V,35V,1V,35V,2A,50kHz ~ 500kHz,No,-40°C ~ 125°C (TA),Surface Mount,TO-263-8* D²Pak (7 Leads + Tab)* TO-263CA,HRP7
Step-Down,Positive,Buck,Adjustable,1,6V,42V,1V,29.4V,500mA,1.5MHz,No,-40°C ~ 105°C (TA),Surface Mount,SOT-23-6,6-SSOP
Step-Down,Positive,Buck,Adjustable,1,8V,55V,3.3V,50V,1.5A,100kHz ~ 300kHz,No,-40°C ~ 150°C (TJ),Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SO W
Step-Down,Positive,Buck,Adjustable,1,15V,50V,5.1V,40V,2A,100kHz ~ 200kHz,No,-40°C ~ 150°C (TJ),Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SO
Step-Down,Positive,Buck,Adjustable (Fixed),1,8V,55V,0.5V (3.3V),50V,3.5A,100kHz ~ 300kHz,No,-40°C ~ 150°C (TJ),Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SO
Step-Down,Positive,Buck,Adjustable (Fixed),1,8V,55V,5.1V (5.1V),50V,3.5A,100kHz ~ 300kHz,No,-40°C ~ 150°C (TJ),Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SO
Step-Up,Positive,Boost,Adjustable (Fixed),1,0.6V,5.5V,1.8V (3.3V* 5V),5.5V,800mA (Switch),-,Yes,-40°C ~ 85°C (TA),Surface Mount,"8-TSSOP (0.173""* 4.40mm Width)",8-TSSOP
Step-Down,Positive,Buck,Adjustable,1,4.5V,36V,0.8V,32.4V,2A,100kHz ~ 1MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"20-PowerTSSOP (0.173""* 4.40mm Width)",20-HTSSOP
Step-Down,Positive,Buck,Adjustable,1,4.5V,42V,1.285V,37V,1A,500kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"8-PowerSOIC (0.154""* 3.90mm Width)",8-SO PowerPad
Step-Down,Positive,Buck,Adjustable,1,4.5V,42V,1.285V,37V,5A,500kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-7 Thin,TO-263-7 Thin
Step-Down,Positive,Buck,Fixed,1,4V,60V,5V,-,500mA,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"14-SOIC (0.295""* 7.50mm Width)",14-SOIC
Step-Down,Positive,Buck,Adjustable,1,4V,60V,1.23V,37V,500mA,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Step-Down,Positive,Buck,Fixed,1,4V,60V,5V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,"16-DIP (0.300""* 7.62mm)",16-DIP
Step-Down,Positive,Buck,Fixed,1,4V,60V,5V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,"16-DIP (0.300""* 7.62mm)",16-DIP
Step-Down,Positive,Buck,Fixed,1,4V,60V,12V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4V,60V,15V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4V,60V,5V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Adjustable,1,4V,60V,1.23V,57V,1A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4V,60V,12V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
Step-Down,Positive,Buck,Fixed,1,4V,40V,3.3V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4V,40V,5V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Adjustable,1,4V,40V,1.23V,37V,1A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4V,40V,12V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
Step-Down,Positive,Buck,Fixed,1,4V,40V,5V,-,1A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
