37440,1548288,309,1800000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),484-FBGA* CSPBGA,484-CSPBGA (19x19)
53712,2322432,309,3400000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-FBGA* CSPBGA,484-CSPBGA (19x19)
53712,2322432,469,3400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BGA,676-FBGA (27x27)
53712,2322432,469,3400000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),676-BGA,676-FBGA (27x27)
53712,2322432,469,3400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
110592,4423680,768,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),1148-BBGA* FCBGA,1148-FCPBGA (35x35)
24192,1327104,448,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),668-BBGA* FCBGA,
34560,3538944,448,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),668-BBGA* FCBGA,668-FCBGA (27x27)
256,65,3000,-,4.75 V ~ 5.25 V,Surface Mount,0°C ~ 85°C (TJ),84-LCC (J-Lead),84-PLCC (29.31x29.31)
784,133,10000,-,4.75 V ~ 5.25 V,Surface Mount,0°C ~ 85°C (TJ),160-BQFP,160-PQFP (28x28)
30720,1179648,220,-,0.95 V ~ 1.05 V,Surface Mount,0°C ~ 85°C (TJ),324-BBGA* FCBGA,324-FCBGA (19x19)
101261,4939776,480,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BGA,676-FBGA (27x27)
147443,4939776,396,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BGA,676-FBGA (27x27)
14579,589824,186,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),256-LBGA,256-FTBGA (17x17)
14579,589824,186,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),256-LBGA,256-FTBGA (17x17)
14579,589824,232,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),324-LFBGA* CSPBGA,324-CSPBGA (15x15)
14579,589824,232,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),324-LFBGA* CSPBGA,324-CSPBGA (15x15)
24051,958464,226,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),324-LFBGA* CSPBGA,324-CSPBGA (15x15)
24051,958464,186,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),256-LBGA,256-FTBGA (17x17)
24051,958464,186,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),256-LBGA,256-FTBGA (17x17)
24051,958464,266,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-BBGA,484-FBGA (23x23)
3840,221184,132,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),225-LFBGA* CSPBGA,225-CSPBGA (13x13)
43661,2138112,218,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),324-LFBGA* CSPBGA,324-CSPBGA (15x15)
