Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,400MHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,400MHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,400MHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Clock Generator,Yes,LVCMOS* LVDS* LVPECL* Crystal,LVCMOS* LVDS* LVPECL,1,2:02,Yes/Yes,1.175GHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,32-VFQFN Exposed Pad,32-VQFN (5x5)
PLL Synthesizer,Yes with Bypass,LVCMOS* Crystal,LVCMOS,1,1:06,Yes/No,167MHz,Yes/Yes,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
Fanout Distribution* Fractional N Synthesizer,Yes,Clock,Clock,1,1:02,No/No,75MHz,Yes/Yes,3.1 V ~ 3.5 V,-10°C ~ 70°C,Surface Mount,"10-TFSOP* 10-MSOP (0.118""* 3.00mm Width)",10-MSOP
Fanout Buffer (Distribution)* Zero Delay Buffer,Yes,LVCMOS* LVTTL,LVCMOS,1,1:05,No/No,133.33MHz,No/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Clock/Synthesizer* Modulator* Spread Spectrum Clock Generator,Yes,Clock* Crystal* Resonator,Clock,1,1:01,No/No,32MHz,Yes/Yes,2.97 V ~ 3.63 V,0°C ~ 70°C,Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Clock Generator,Yes,Clock* Crystal,CMOS,1,1:01,No/No,160MHz,No/Yes,3 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Jitter Cleaner,Yes,LVCMOS* LVDS* LVPECL,LVCMOS* LVDS* LVPECL,1,2:14,Yes/Yes,1.536GHz,Yes/No,3.15 V ~ 3.45 V,-40°C ~ 85°C,Surface Mount,64-WFQFN Exposed Pad,64-WQFN (9x9)
PLL Synthesizer* Delta Sigma,Yes with Bypass,CMOS* TTL,CMOS,1,3:01,No/No,1.1GHz* 500MHz,Yes/No,2.7 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TFQFN* CSP,16-CSP (3.5x3.5)
PLL Synthesizer* Delta Sigma,Yes with Bypass,CMOS* TTL,CMOS,1,3:01,No/No,1.1GHz* 500MHz,Yes/No,2.7 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TFQFN* CSP,16-CSP (3.5x3.5)
