Series,Fixed,3.3V,-,10mA,±0.1%,8ppm/°C,25µVp-p,46µVrms,3.5 V ~ 5.5 V,100µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-6,SOT-23-6
Series,Fixed,2.5V,-,5mA,±0.24%,25ppm/°C,8.25µVp-p,-,2.8 V ~ 15 V,190µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-5 Thin* TSOT-23-5,TSOT-5
Series,Fixed,2.5V,-,5mA,±0.24%,25ppm/°C,5µVp-p,-,2.8 V ~ 18 V,140µA,-,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Series,Fixed,2.048V,-,5mA,±0.19%,9ppm/°C,5µVp-p,-,2.5 V ~ 15 V,140µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-5 Thin* TSOT-23-5,TSOT-5
Series,Fixed,2.5V,-,5mA,±0.16%,9ppm/°C,5µVp-p,-,2.8 V ~ 15 V,140µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-5 Thin* TSOT-23-5,TSOT-5
Series,Fixed,2.5V,-,10mA,±0.12%,10ppm/°C,1.75µVp-p,-,4.5 V ~ 18 V,600µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",8-MSOP
Series,Fixed,2.5V,-,10mA,±0.12%,10ppm/°C,1.75µVp-p,-,4.5 V ~ 18 V,600µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,2.5V,-,10mA,±0.04%,3ppm/°C,1.75µVp-p,-,4.5 V ~ 18 V,600µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,10mA,±0.04%,3ppm/°C,3.4µVp-p,-,7 V ~ 18 V,600µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,4.096V,-,30mA,±0.12%,10ppm/°C,6.25µVp-p,-,6.1 V ~ 18 V,800µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,4.096V,-,30mA,±0.04%,3ppm/°C,6.25µVp-p,-,6.1 V ~ 18 V,800µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,30mA,±0.04%,3ppm/°C,8µVp-p,-,7 V ~ 18 V,800µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",8-MSOP
Series,Fixed,2.5V,-,10mA,±0.12%,10ppm/°C,1.2µVp-p,-,3 V ~ 18 V,3.75mA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,2.5V,-,10mA,±0.04%,3ppm/°C,1.2µVp-p,-,3 V ~ 18 V,3.75mA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,3V,-,10mA,±0.04%,3ppm/°C,1.4µVp-p,-,3.5 V ~ 18 V,3.75mA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,10mA,±0.12%,10ppm/°C,2.25µVp-p,-,5.5 V ~ 18 V,3.75mA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,10mA,±0.04%,3ppm/°C,2.25µVp-p,-,5.5 V ~ 18 V,3.75mA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,2.5V,-,10mA,±0.04%,4ppm/°C,1.25µVp-p,-,3 V ~ 15 V,950µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,2.5V,-,10mA,±0.02%,2ppm/°C,1.25µVp-p,-,3 V ~ 15 V,950µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,3.3V,-,10mA,±0.04%,4ppm/°C,2.1µVp-p,-,3.4 V ~ 15 V,950µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,4.096V,-,10mA,±0.02%,2ppm/°C,2.7µVp-p,-,4.2 V ~ 15 V,950µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Shunt,Fixed,5V,-,15mA,±0.2%,100ppm/°C,6.6µVrms,280µVrms,-,-,60µA,-40°C ~ 125°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,1V,-,10mA,±0.35%,85ppm/°C,4µVp-p,-,-,-,100µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,1.2V,-,10mA,±0.3%,60ppm/°C,4µVp-p,-,-,-,100µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Adjustable,2.5V,36V,100mA,±0.4%,20ppm/°C Typical,-,-,-,-,1mA,-40°C ~ 125°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,2.5V,-,20mA,±1.5%,80ppm/°C Typical,-,120µVrms,-,-,30µA,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Shunt,Fixed,6.9V,-,15mA,-0.00220545,100ppm/°C,-,7µVrms,-,-,600µA,0°C ~ 70°C (TA),Through Hole,TO-226-3* TO-92-3 (TO-226AA),TO-92-3
